	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
80283	who tell the story Gentlemen collecting for charity 1 and 2 Ebenezer Scrooge	who	PRON	who	nsubj	people	people	(9, 21)	('people', ':')	Narrators 1 , 2 , and 3 : people who tell the story Gentlemen collecting for charity 1 and 2 Ebenezer Scrooge : an old miser Bob Cratchit : Scrooge 's employee Ghost of Jacob Marley : Scrooge 's former partner Ghost of Christmas Past Ghost of Christmas Present Mrs. Cratchit :
80284	that weigh down Marley	that	DET	that	nsubj	ledgers	the ledgers	(9, 12)	('boxes', '.')	: Scrooge looks at the ledgers and cash boxes that weigh down Marley .
80285	that I misused	I	PRON	that	dobj	opportunities	the opportunities	(18, 20)	('opportunities', '!')	Oh , for the chance to live my life over-to take advantage of the opportunities that I misused !
80286	which begins to open by itself	which	DET	which	nsubj	window	the window	(11, 16)	(',', '.')	Narr. 2 : The ghost points toward the window , which begins to open by itself .
80287	that have been	that	DET	that	nsubj	things	the things	(8, 10)	('things', '.')	These are but shadows of the things that have been .
80288	that was not so happy	that	DET	that	nsubj	time	another time	(10, 14)	('time', '.')	Narr 3 : Scrooge begins to think about another time that was not so happy .
80289	that seems to be coming from the next room	that	DET	that	nsubj	light	a strange light	(9, 17)	('light', '.')	3 : Finally , he notices a strange light that seems to be coming from the next room .
80290	that is working now	that	DET	that	nsubj	lesson	a lesson	(17, 20)	('lesson', '.')	I went forth with one of your fellows last night , and I learned a lesson that is working now .
80291	who gently holds his withered little hand	who	PRON	who	nsubj	father	his father	(11, 17)	(',', '.')	Tiny Tim sits on a stool near his father , who gently holds his withered little hand .
80292	who is clearly her husband	who	PRON	who	nsubj	man	a man	(10, 14)	('in', '.')	3 : After some time , a man comes in who is clearly her husband .
80293	by which it stands	it	PRON	which	pobj	grave	the grave	(14, 17)	('by', 'Scrooge')	3 : The silent ghost continues to point downward to the grave by which it stands .
80294	that could result from his sudden change	that	DET	that	nsubj	drawbacks	some drawbacks	(5, 11)	('drawbacks', '?')	What are some drawbacks that could result from his sudden change ?
80295	who knew practically nothing of the Jewish religion ,	who	PRON	who	nsubj	I	I	(4, 12)	(',', 'going')	How was I , who knew practically nothing of the Jewish religion , going to become the spiritual leader of a large number of people ?
80296	people make jokes that about	people	NOUN	that	pobj	mothers	those Jewish mothers	(9, 13)	('mothers', '!')	My mom was one of those Jewish mothers that people make jokes about !
80297	"that sounded like "" Tov , toda"	that	DET	that	nsubj	something	something	(15, 21)	('something', '.')	"An incomprehensible mumbling , and then all the kids in my class responded with something that sounded like "" Tov , toda ."
80298	which are just bits of scraps sewn together	which	DET	which	nsubj	quilts	crazy quilts	(5, 12)	(',', ',')	She made crazy quilts , which are just bits of scraps sewn together , and then decorated and embroidered with fancy stitches-wheat stitches , briar stitches , flowers , birds , little frogs , and snowflakes .
80299	which he was	he	PRON	which	attr	love	love	(10, 12)	(',', '.')	He looked like he was falling in love , which he was .
